"sample_PlateID","BLUD_or_SPBL","Plate","Antibiotic","Rep","WELL","Volume","Dilution","BACTERIA","NA","Sex","Row","Col","Age","Time_post_injection","Well_with_sample","sample_ID_new"
"B4_Plate25","BLUD","25","None",1,"B4","5.0","5.0","28","0","Female","B",4,"Old",1,"Yes","B4_Time_post_injection_1"
"B5_Plate25","BLUD","25","None",1,"B5","5.0","5.0","17","0","Female","B",5,"Young",2,"Yes","B5_Time_post_injection_2"
"B6_Plate25","BLUD","25","None",1,"B6","5.0","5.0","24","0","Female","B",6,"Young",2,"Yes","B6_Time_post_injection_2"
"B7_Plate25","BLUD","25","None",1,"B7","5.0","5.0","20","0","Female","B",7,"Old",2,"Yes","B7_Time_post_injection_2"
"B8_Plate25","BLUD","25","None",1,"B8","5.0","5.0","20","0","Female","B",8,"Old",2,"Yes","B8_Time_post_injection_2"
"B9_Plate25","BLUD","25","None",1,"B9","5.0","5.0","24","0","Female","B",9,"Young",3,"Yes","B9_Time_post_injection_3"
"B10_Plate25","BLUD","25","None",1,"B10","5.0","5.0","12","0","Female","B",10,"Young",3,"Yes","B10_Time_post_injection_3"
"B11_Plate25","BLUD","25","None",1,"B11","5.0","5.0","30","0","Female","B",11,"Old",3,"Yes","B11_Time_post_injection_3"
"B12_Plate25","BLUD","25","None",1,"B12","5.0","5.0","24","0","Female","B",12,"Old",3,"Yes","B12_Time_post_injection_3"
"C1_Plate25","BLUD","25","None",1,"C1","5.0","5.0","8","0","Female","C",1,"Young",1,"Yes","C1_Time_post_injection_1"
"C2_Plate25","BLUD","25","None",1,"C2","5.0","5.0","15","0","Female","C",2,"Young",1,"Yes","C2_Time_post_injection_1"
"C3_Plate25","BLUD","25","None",1,"C3","5.0","5.0","21","0","Female","C",3,"Old",1,"Yes","C3_Time_post_injection_1"
"C4_Plate25","BLUD","25","None",1,"C4","5.0","5.0","23","0","Female","C",4,"Old",1,"Yes","C4_Time_post_injection_1"
"C5_Plate25","BLUD","25","None",1,"C5","5.0","5.0","27","0","Female","C",5,"Young",2,"Yes","C5_Time_post_injection_2"
"C6_Plate25","BLUD","25","None",1,"C6","5.0","5.0","22","0","Female","C",6,"Young",2,"Yes","C6_Time_post_injection_2"
"C7_Plate25","BLUD","25","None",1,"C7","5.0","5.0","23","0","Female","C",7,"Old",2,"Yes","C7_Time_post_injection_2"
"C8_Plate25","BLUD","25","None",1,"C8","5.0","5.0","32","0","Female","C",8,"Old",2,"Yes","C8_Time_post_injection_2"
"C9_Plate25","BLUD","25","None",1,"C9","5.0","5.0","22","0","Female","C",9,"Young",3,"Yes","C9_Time_post_injection_3"
"C10_Plate25","BLUD","25","None",1,"C10","5.0","5.0","21","0","Female","C",10,"Young",3,"Yes","C10_Time_post_injection_3"
"C11_Plate25","BLUD","25","None",1,"C11","5.0","5.0","38","0","Female","C",11,"Old",3,"Yes","C11_Time_post_injection_3"
"C12_Plate25","BLUD","25","None",1,"C12","5.0","5.0","14","0","Female","C",12,"Old",3,"Yes","C12_Time_post_injection_3"
"D1_Plate25","BLUD","25","None",1,"D1","5.0","5.0","11","0","Female","D",1,"Young",1,"Yes","D1_Time_post_injection_1"
"D2_Plate25","BLUD","25","None",1,"D2","5.0","5.0","11","0","Female","D",2,"Young",1,"Yes","D2_Time_post_injection_1"
"D3_Plate25","BLUD","25","None",1,"D3","5.0","5.0","24","0","Female","D",3,"Old",1,"Yes","D3_Time_post_injection_1"
"D4_Plate25","BLUD","25","None",1,"D4","5.0","5.0","32","0","Female","D",4,"Old",1,"Yes","D4_Time_post_injection_1"
"D5_Plate25","BLUD","25","None",1,"D5","5.0","5.0","23","0","Female","D",5,"Young",2,"Yes","D5_Time_post_injection_2"
"D6_Plate25","BLUD","25","None",1,"D6","5.0","5.0","29","0","Female","D",6,"Young",2,"Yes","D6_Time_post_injection_2"
"D7_Plate25","BLUD","25","None",1,"D7","5.0","5.0","21","0","Female","D",7,"Old",2,"Yes","D7_Time_post_injection_2"
"D8_Plate25","BLUD","25","None",1,"D8","5.0","5.0","14","0","Female","D",8,"Old",2,"Yes","D8_Time_post_injection_2"
"D9_Plate25","BLUD","25","None",1,"D9","5.0","5.0","37","0","Female","D",9,"Young",3,"Yes","D9_Time_post_injection_3"
"D10_Plate25","BLUD","25","None",1,"D10","5.0","5.0","17","0","Female","D",10,"Young",3,"Yes","D10_Time_post_injection_3"
"D11_Plate25","BLUD","25","None",1,"D11","5.0","5.0","19","0","Female","D",11,"Old",3,"Yes","D11_Time_post_injection_3"
"D12_Plate25","BLUD","25","None",1,"D12","5.0","5.0","26","0","Female","D",12,"Old",3,"Yes","D12_Time_post_injection_3"
"E1_Plate25","BLUD","25","None",1,"E1","5.0","5.0","17","0","Male","E",1,"Young",1,"Yes","E1_Time_post_injection_1"
"E2_Plate25","BLUD","25","None",1,"E2","5.0","5.0","14","0","Male","E",2,"Young",1,"Yes","E2_Time_post_injection_1"
"E3_Plate25","BLUD","25","None",1,"E3","5.0","5.0","21","0","Male","E",3,"Old",1,"Yes","E3_Time_post_injection_1"
"E4_Plate25","BLUD","25","None",1,"E4","5.0","5.0","18","0","Male","E",4,"Old",1,"Yes","E4_Time_post_injection_1"
"E5_Plate25","BLUD","25","None",1,"E5","5.0","5.0","23","0","Male","E",5,"Young",2,"Yes","E5_Time_post_injection_2"
"E6_Plate25","BLUD","25","None",1,"E6","5.0","5.0","24","0","Male","E",6,"Young",2,"Yes","E6_Time_post_injection_2"
"E7_Plate25","BLUD","25","None",1,"E7","5.0","5.0","13","0","Male","E",7,"Old",2,"Yes","E7_Time_post_injection_2"
"E8_Plate25","BLUD","25","None",1,"E8","5.0","5.0","15","0","Male","E",8,"Old",2,"Yes","E8_Time_post_injection_2"
"E9_Plate25","BLUD","25","None",1,"E9","5.0","5.0","23","0","Male","E",9,"Young",3,"Yes","E9_Time_post_injection_3"
"E10_Plate25","BLUD","25","None",1,"E10","5.0","5.0","28","0","Male","E",10,"Young",3,"Yes","E10_Time_post_injection_3"
"E11_Plate25","BLUD","25","None",1,"E11","5.0","5.0","33","0","Male","E",11,"Old",3,"Yes","E11_Time_post_injection_3"
"E12_Plate25","BLUD","25","None",1,"E12","5.0","5.0","23","0","Male","E",12,"Old",3,"Yes","E12_Time_post_injection_3"
"F1_Plate25","BLUD","25","None",1,"F1","5.0","5.0","10","0","Male","F",1,"Young",1,"Yes","F1_Time_post_injection_1"
"F2_Plate25","BLUD","25","None",1,"F2","5.0","5.0","11","0","Male","F",2,"Young",1,"Yes","F2_Time_post_injection_1"
"F3_Plate25","BLUD","25","None",1,"F3","5.0","5.0","23","0","Male","F",3,"Old",1,"Yes","F3_Time_post_injection_1"
"F4_Plate25","BLUD","25","None",1,"F4","5.0","5.0","29","0","Male","F",4,"Old",1,"Yes","F4_Time_post_injection_1"
"F5_Plate25","BLUD","25","None",1,"F5","5.0","5.0","18","0","Male","F",5,"Young",2,"Yes","F5_Time_post_injection_2"
"F6_Plate25","BLUD","25","None",1,"F6","5.0","5.0","30","0","Male","F",6,"Young",2,"Yes","F6_Time_post_injection_2"
"F7_Plate25","BLUD","25","None",1,"F7","5.0","5.0","25","0","Male","F",7,"Old",2,"Yes","F7_Time_post_injection_2"
"F8_Plate25","BLUD","25","None",1,"F8","5.0","5.0","19","0","Male","F",8,"Old",2,"Yes","F8_Time_post_injection_2"
"F9_Plate25","BLUD","25","None",1,"F9","5.0","5.0","31","0","Male","F",9,"Young",3,"Yes","F9_Time_post_injection_3"
"F10_Plate25","BLUD","25","None",1,"F10","5.0","5.0","33","0","Male","F",10,"Young",3,"Yes","F10_Time_post_injection_3"
"F11_Plate25","BLUD","25","None",1,"F11","5.0","5.0","37","0","Male","F",11,"Old",3,"Yes","F11_Time_post_injection_3"
"F12_Plate25","BLUD","25","None",1,"F12","5.0","5.0","30","0","Male","F",12,"Old",3,"Yes","F12_Time_post_injection_3"
"G1_Plate25","BLUD","25","None",1,"G1","5.0","5.0","16","0","Male","G",1,"Young",1,"Yes","G1_Time_post_injection_1"
"G2_Plate25","BLUD","25","None",1,"G2","5.0","5.0","18","0","Male","G",2,"Young",1,"Yes","G2_Time_post_injection_1"
"G3_Plate25","BLUD","25","None",1,"G3","5.0","5.0","23","0","Male","G",3,"Old",1,"Yes","G3_Time_post_injection_1"
"G4_Plate25","BLUD","25","None",1,"G4","5.0","5.0","27","0","Male","G",4,"Old",1,"Yes","G4_Time_post_injection_1"
"G5_Plate25","BLUD","25","None",1,"G5","5.0","5.0","26","0","Male","G",5,"Young",2,"Yes","G5_Time_post_injection_2"
"G6_Plate25","BLUD","25","None",1,"G6","5.0","5.0","29","0","Male","G",6,"Young",2,"Yes","G6_Time_post_injection_2"
"G7_Plate25","BLUD","25","None",1,"G7","5.0","5.0","19","0","Male","G",7,"Old",2,"Yes","G7_Time_post_injection_2"
"G8_Plate25","BLUD","25","None",1,"G8","5.0","5.0","16","0","Male","G",8,"Old",2,"Yes","G8_Time_post_injection_2"
"G9_Plate25","BLUD","25","None",1,"G9","5.0","5.0","27","0","Male","G",9,"Young",3,"Yes","G9_Time_post_injection_3"
"G10_Plate25","BLUD","25","None",1,"G10","5.0","5.0","12","0","Male","G",10,"Young",3,"Yes","G10_Time_post_injection_3"
"G11_Plate25","BLUD","25","None",1,"G11","5.0","5.0","34","0","Male","G",11,"Old",3,"Yes","G11_Time_post_injection_3"
"G12_Plate25","BLUD","25","None",1,"G12","5.0","5.0","29","0","Male","G",12,"Old",3,"Yes","G12_Time_post_injection_3"
"H1_Plate25","BLUD","25","None",1,"H1","5.0","5.0","14","0","Male","H",1,"Young",1,"Yes","H1_Time_post_injection_1"
"H2_Plate25","BLUD","25","None",1,"H2","5.0","5.0","12","0","Male","H",2,"Young",1,"Yes","H2_Time_post_injection_1"
"H3_Plate25","BLUD","25","None",1,"H3","5.0","5.0","30","0","Male","H",3,"Old",1,"Yes","H3_Time_post_injection_1"
"H4_Plate25","BLUD","25","None",1,"H4","5.0","5.0","21","0","Male","H",4,"Old",1,"Yes","H4_Time_post_injection_1"
"H5_Plate25","BLUD","25","None",1,"H5","5.0","5.0","19","0","Male","H",5,"Young",2,"Yes","H5_Time_post_injection_2"
"H6_Plate25","BLUD","25","None",1,"H6","5.0","5.0","21","0","Male","H",6,"Young",2,"Yes","H6_Time_post_injection_2"
"H7_Plate25","BLUD","25","None",1,"H7","5.0","5.0","21","0","Male","H",7,"Old",2,"Yes","H7_Time_post_injection_2"
"H8_Plate25","BLUD","25","None",1,"H8","5.0","5.0","15","0","Male","H",8,"Old",2,"Yes","H8_Time_post_injection_2"
"H9_Plate25","BLUD","25","None",1,"H9","5.0","5.0","24","0","Male","H",9,"Young",3,"Yes","H9_Time_post_injection_3"
"H10_Plate25","BLUD","25","None",1,"H10","5.0","5.0","16","0","Male","H",10,"Young",3,"Yes","H10_Time_post_injection_3"
"H11_Plate25","BLUD","25","None",1,"H11","5.0","5.0","26","0","Male","H",11,"Old",3,"Yes","H11_Time_post_injection_3"
"H12_Plate25","BLUD","25","None",1,"H12","5.0","5.0","0","1","Male","H",12,"Old",3,"Yes","H12_Time_post_injection_3"
"A1_Plate26","BLUD","26","None",2,"A1","5.0","5.0","16","0","Female","A",1,"Young",1,"Yes","A1_Time_post_injection_1"
"A2_Plate26","BLUD","26","None",2,"A2","5.0","5.0","20","0","Female","A",2,"Young",1,"Yes","A2_Time_post_injection_1"
"A3_Plate26","BLUD","26","None",2,"A3","5.0","5.0","34","0","Female","A",3,"Old",1,"Yes","A3_Time_post_injection_1"
"A4_Plate26","BLUD","26","None",2,"A4","5.0","5.0","21","0","Female","A",4,"Old",1,"Yes","A4_Time_post_injection_1"
"A5_Plate26","BLUD","26","None",2,"A5","5.0","5.0","23","0","Female","A",5,"Young",2,"Yes","A5_Time_post_injection_2"
"A6_Plate26","BLUD","26","None",2,"A6","5.0","5.0","25","0","Female","A",6,"Young",2,"Yes","A6_Time_post_injection_2"
"A7_Plate26","BLUD","26","None",2,"A7","5.0","5.0","19","0","Female","A",7,"Old",2,"Yes","A7_Time_post_injection_2"
"A8_Plate26","BLUD","26","None",2,"A8","5.0","5.0","22","0","Female","A",8,"Old",2,"Yes","A8_Time_post_injection_2"
"A9_Plate26","BLUD","26","None",2,"A9","5.0","5.0","28","0","Female","A",9,"Young",3,"Yes","A9_Time_post_injection_3"
"A10_Plate26","BLUD","26","None",2,"A10","5.0","5.0","14","0","Female","A",10,"Young",3,"Yes","A10_Time_post_injection_3"
"A11_Plate26","BLUD","26","None",2,"A11","5.0","5.0","28","0","Female","A",11,"Old",3,"Yes","A11_Time_post_injection_3"
"A12_Plate26","BLUD","26","None",2,"A12","5.0","5.0","28","0","Female","A",12,"Old",3,"Yes","A12_Time_post_injection_3"
"B1_Plate26","BLUD","26","None",2,"B1","5.0","5.0","15","0","Female","B",1,"Young",1,"Yes","B1_Time_post_injection_1"
"B2_Plate26","BLUD","26","None",2,"B2","5.0","5.0","18","0","Female","B",2,"Young",1,"Yes","B2_Time_post_injection_1"
"B3_Plate26","BLUD","26","None",2,"B3","5.0","5.0","52","0","Female","B",3,"Old",1,"Yes","B3_Time_post_injection_1"
"B4_Plate26","BLUD","26","None",2,"B4","5.0","5.0","36","0","Female","B",4,"Old",1,"Yes","B4_Time_post_injection_1"
"B5_Plate26","BLUD","26","None",2,"B5","5.0","5.0","27","0","Female","B",5,"Young",2,"Yes","B5_Time_post_injection_2"
"B6_Plate26","BLUD","26","None",2,"B6","5.0","5.0","30","0","Female","B",6,"Young",2,"Yes","B6_Time_post_injection_2"
"B7_Plate26","BLUD","26","None",2,"B7","5.0","5.0","19","0","Female","B",7,"Old",2,"Yes","B7_Time_post_injection_2"
"B8_Plate26","BLUD","26","None",2,"B8","5.0","5.0","22","0","Female","B",8,"Old",2,"Yes","B8_Time_post_injection_2"
"B9_Plate26","BLUD","26","None",2,"B9","5.0","5.0","22","0","Female","B",9,"Young",3,"Yes","B9_Time_post_injection_3"
"B10_Plate26","BLUD","26","None",2,"B10","5.0","5.0","20","0","Female","B",10,"Young",3,"Yes","B10_Time_post_injection_3"
"B11_Plate26","BLUD","26","None",2,"B11","5.0","5.0","39","0","Female","B",11,"Old",3,"Yes","B11_Time_post_injection_3"
"B12_Plate26","BLUD","26","None",2,"B12","5.0","5.0","35","0","Female","B",12,"Old",3,"Yes","B12_Time_post_injection_3"
"C1_Plate26","BLUD","26","None",2,"C1","5.0","5.0","21","0","Female","C",1,"Young",1,"Yes","C1_Time_post_injection_1"
"C2_Plate26","BLUD","26","None",2,"C2","5.0","5.0","19","0","Female","C",2,"Young",1,"Yes","C2_Time_post_injection_1"
"C3_Plate26","BLUD","26","None",2,"C3","5.0","5.0","32","0","Female","C",3,"Old",1,"Yes","C3_Time_post_injection_1"
"C4_Plate26","BLUD","26","None",2,"C4","5.0","5.0","29","0","Female","C",4,"Old",1,"Yes","C4_Time_post_injection_1"
"C5_Plate26","BLUD","26","None",2,"C5","5.0","5.0","37","0","Female","C",5,"Young",2,"Yes","C5_Time_post_injection_2"
"C6_Plate26","BLUD","26","None",2,"C6","5.0","5.0","32","0","Female","C",6,"Young",2,"Yes","C6_Time_post_injection_2"
"C7_Plate26","BLUD","26","None",2,"C7","5.0","5.0","28","0","Female","C",7,"Old",2,"Yes","C7_Time_post_injection_2"
"C8_Plate26","BLUD","26","None",2,"C8","5.0","5.0","33","0","Female","C",8,"Old",2,"Yes","C8_Time_post_injection_2"
"C9_Plate26","BLUD","26","None",2,"C9","5.0","5.0","22","0","Female","C",9,"Young",3,"Yes","C9_Time_post_injection_3"
"C10_Plate26","BLUD","26","None",2,"C10","5.0","5.0","29","0","Female","C",10,"Young",3,"Yes","C10_Time_post_injection_3"
"C11_Plate26","BLUD","26","None",2,"C11","5.0","5.0","41","0","Female","C",11,"Old",3,"Yes","C11_Time_post_injection_3"
"C12_Plate26","BLUD","26","None",2,"C12","5.0","5.0","37","0","Female","C",12,"Old",3,"Yes","C12_Time_post_injection_3"
"D1_Plate26","BLUD","26","None",2,"D1","5.0","5.0","20","0","Female","D",1,"Young",1,"Yes","D1_Time_post_injection_1"
"D2_Plate26","BLUD","26","None",2,"D2","5.0","5.0","17","0","Female","D",2,"Young",1,"Yes","D2_Time_post_injection_1"
"D3_Plate26","BLUD","26","None",2,"D3","5.0","5.0","35","0","Female","D",3,"Old",1,"Yes","D3_Time_post_injection_1"
"D4_Plate26","BLUD","26","None",2,"D4","5.0","5.0","31","0","Female","D",4,"Old",1,"Yes","D4_Time_post_injection_1"
"D5_Plate26","BLUD","26","None",2,"D5","5.0","5.0","31","0","Female","D",5,"Young",2,"Yes","D5_Time_post_injection_2"
"D6_Plate26","BLUD","26","None",2,"D6","5.0","5.0","36","0","Female","D",6,"Young",2,"Yes","D6_Time_post_injection_2"
"D7_Plate26","BLUD","26","None",2,"D7","5.0","5.0","24","0","Female","D",7,"Old",2,"Yes","D7_Time_post_injection_2"
"D8_Plate26","BLUD","26","None",2,"D8","5.0","5.0","22","0","Female","D",8,"Old",2,"Yes","D8_Time_post_injection_2"
"D9_Plate26","BLUD","26","None",2,"D9","5.0","5.0","34","0","Female","D",9,"Young",3,"Yes","D9_Time_post_injection_3"
"D10_Plate26","BLUD","26","None",2,"D10","5.0","5.0","22","0","Female","D",10,"Young",3,"Yes","D10_Time_post_injection_3"
"D11_Plate26","BLUD","26","None",2,"D11","5.0","5.0","25","0","Female","D",11,"Old",3,"Yes","D11_Time_post_injection_3"
"D12_Plate26","BLUD","26","None",2,"D12","5.0","5.0","30","0","Female","D",12,"Old",3,"Yes","D12_Time_post_injection_3"
"E1_Plate26","BLUD","26","None",2,"E1","5.0","5.0","14","0","Male","E",1,"Young",1,"Yes","E1_Time_post_injection_1"
"E2_Plate26","BLUD","26","None",2,"E2","5.0","5.0","20","0","Male","E",2,"Young",1,"Yes","E2_Time_post_injection_1"
"E3_Plate26","BLUD","26","None",2,"E3","5.0","5.0","34","0","Male","E",3,"Old",1,"Yes","E3_Time_post_injection_1"
"E4_Plate26","BLUD","26","None",2,"E4","5.0","5.0","30","0","Male","E",4,"Old",1,"Yes","E4_Time_post_injection_1"
"E5_Plate26","BLUD","26","None",2,"E5","5.0","5.0","33","0","Male","E",5,"Young",2,"Yes","E5_Time_post_injection_2"
"E6_Plate26","BLUD","26","None",2,"E6","5.0","5.0","28","0","Male","E",6,"Young",2,"Yes","E6_Time_post_injection_2"
"E7_Plate26","BLUD","26","None",2,"E7","5.0","5.0","26","0","Male","E",7,"Old",2,"Yes","E7_Time_post_injection_2"
"E8_Plate26","BLUD","26","None",2,"E8","5.0","5.0","33","0","Male","E",8,"Old",2,"Yes","E8_Time_post_injection_2"
"E9_Plate26","BLUD","26","None",2,"E9","5.0","5.0","22","0","Male","E",9,"Young",3,"Yes","E9_Time_post_injection_3"
"E10_Plate26","BLUD","26","None",2,"E10","5.0","5.0","25","0","Male","E",10,"Young",3,"Yes","E10_Time_post_injection_3"
"E11_Plate26","BLUD","26","None",2,"E11","5.0","5.0","34","0","Male","E",11,"Old",3,"Yes","E11_Time_post_injection_3"
"E12_Plate26","BLUD","26","None",2,"E12","5.0","5.0","31","0","Male","E",12,"Old",3,"Yes","E12_Time_post_injection_3"
"F1_Plate26","BLUD","26","None",2,"F1","5.0","5.0","23","0","Male","F",1,"Young",1,"Yes","F1_Time_post_injection_1"
"F2_Plate26","BLUD","26","None",2,"F2","5.0","5.0","14","0","Male","F",2,"Young",1,"Yes","F2_Time_post_injection_1"
"F3_Plate26","BLUD","26","None",2,"F3","5.0","5.0","29","0","Male","F",3,"Old",1,"Yes","F3_Time_post_injection_1"
"F4_Plate26","BLUD","26","None",2,"F4","5.0","5.0","31","0","Male","F",4,"Old",1,"Yes","F4_Time_post_injection_1"
"F5_Plate26","BLUD","26","None",2,"F5","5.0","5.0","16","0","Male","F",5,"Young",2,"Yes","F5_Time_post_injection_2"
"F6_Plate26","BLUD","26","None",2,"F6","5.0","5.0","25","0","Male","F",6,"Young",2,"Yes","F6_Time_post_injection_2"
"F7_Plate26","BLUD","26","None",2,"F7","5.0","5.0","26","0","Male","F",7,"Old",2,"Yes","F7_Time_post_injection_2"
"F8_Plate26","BLUD","26","None",2,"F8","5.0","5.0","19","0","Male","F",8,"Old",2,"Yes","F8_Time_post_injection_2"
"F9_Plate26","BLUD","26","None",2,"F9","5.0","5.0","41","0","Male","F",9,"Young",3,"Yes","F9_Time_post_injection_3"
"F10_Plate26","BLUD","26","None",2,"F10","5.0","5.0","30","0","Male","F",10,"Young",3,"Yes","F10_Time_post_injection_3"
"F11_Plate26","BLUD","26","None",2,"F11","5.0","5.0","46","0","Male","F",11,"Old",3,"Yes","F11_Time_post_injection_3"
"F12_Plate26","BLUD","26","None",2,"F12","5.0","5.0","35","0","Male","F",12,"Old",3,"Yes","F12_Time_post_injection_3"
"G1_Plate26","BLUD","26","None",2,"G1","5.0","5.0","21","0","Male","G",1,"Young",1,"Yes","G1_Time_post_injection_1"
"G2_Plate26","BLUD","26","None",2,"G2","5.0","5.0","17","0","Male","G",2,"Young",1,"Yes","G2_Time_post_injection_1"
"G3_Plate26","BLUD","26","None",2,"G3","5.0","5.0","29","0","Male","G",3,"Old",1,"Yes","G3_Time_post_injection_1"
"G4_Plate26","BLUD","26","None",2,"G4","5.0","5.0","34","0","Male","G",4,"Old",1,"Yes","G4_Time_post_injection_1"
"G5_Plate26","BLUD","26","None",2,"G5","5.0","5.0","27","0","Male","G",5,"Young",2,"Yes","G5_Time_post_injection_2"
"G6_Plate26","BLUD","26","None",2,"G6","5.0","5.0","34","0","Male","G",6,"Young",2,"Yes","G6_Time_post_injection_2"
"G7_Plate26","BLUD","26","None",2,"G7","5.0","5.0","23","0","Male","G",7,"Old",2,"Yes","G7_Time_post_injection_2"
"G8_Plate26","BLUD","26","None",2,"G8","5.0","5.0","32","0","Male","G",8,"Old",2,"Yes","G8_Time_post_injection_2"
"G9_Plate26","BLUD","26","None",2,"G9","5.0","5.0","31","0","Male","G",9,"Young",3,"Yes","G9_Time_post_injection_3"
"G10_Plate26","BLUD","26","None",2,"G10","5.0","5.0","11","0","Male","G",10,"Young",3,"Yes","G10_Time_post_injection_3"
"G11_Plate26","BLUD","26","None",2,"G11","5.0","5.0","44","0","Male","G",11,"Old",3,"Yes","G11_Time_post_injection_3"
"G12_Plate26","BLUD","26","None",2,"G12","5.0","5.0","29","0","Male","G",12,"Old",3,"Yes","G12_Time_post_injection_3"
"H1_Plate26","BLUD","26","None",2,"H1","5.0","5.0","18","0","Male","H",1,"Young",1,"Yes","H1_Time_post_injection_1"
"H2_Plate26","BLUD","26","None",2,"H2","5.0","5.0","19","0","Male","H",2,"Young",1,"Yes","H2_Time_post_injection_1"
"H3_Plate26","BLUD","26","None",2,"H3","5.0","5.0","33","0","Male","H",3,"Old",1,"Yes","H3_Time_post_injection_1"
"H4_Plate26","BLUD","26","None",2,"H4","5.0","5.0","27","0","Male","H",4,"Old",1,"Yes","H4_Time_post_injection_1"
"H5_Plate26","BLUD","26","None",2,"H5","5.0","5.0","29","0","Male","H",5,"Young",2,"Yes","H5_Time_post_injection_2"
"H6_Plate26","BLUD","26","None",2,"H6","5.0","5.0","24","0","Male","H",6,"Young",2,"Yes","H6_Time_post_injection_2"
"H7_Plate26","BLUD","26","None",2,"H7","5.0","5.0","23","0","Male","H",7,"Old",2,"Yes","H7_Time_post_injection_2"
"H8_Plate26","BLUD","26","None",2,"H8","5.0","5.0","26","0","Male","H",8,"Old",2,"Yes","H8_Time_post_injection_2"
"H9_Plate26","BLUD","26","None",2,"H9","5.0","5.0","41","0","Male","H",9,"Young",3,"Yes","H9_Time_post_injection_3"
"H10_Plate26","BLUD","26","None",2,"H10","5.0","5.0","20","0","Male","H",10,"Young",3,"Yes","H10_Time_post_injection_3"
"H11_Plate26","BLUD","26","None",2,"H11","5.0","5.0","38","0","Male","H",11,"Old",3,"Yes","H11_Time_post_injection_3"
"H12_Plate26","BLUD","26","None",2,"H12","5.0","5.0","49","0","Male","H",12,"Old",3,"Yes","H12_Time_post_injection_3"
"A1_Plate72","BLUD","72","None",1,"A1","5.0","3125.0","1","0","Female","A",1,"Young",12,"Yes","A1_Time_post_injection_12"
"A2_Plate72","BLUD","72","None",1,"A2","5.0","3125.0","0","0","Female","A",2,"Young",12,"No","A2_Time_post_injection_12"
"A3_Plate72","BLUD","72","None",1,"A3","5.0","3125.0","0","1","Female","A",3,"Old",12,"Yes","A3_Time_post_injection_12"
"A4_Plate72","BLUD","72","None",1,"A4","5.0","3125.0","7","0","Female","A",4,"Old",12,"Yes","A4_Time_post_injection_12"
"A5_Plate72","BLUD","72","None",1,"A5","5.0","3125.0","0","1","Female","A",5,"Young",13,"Yes","A5_Time_post_injection_13"
"A6_Plate72","BLUD","72","None",1,"A6","5.0","3125.0","0","1","Female","A",6,"Young",13,"Yes","A6_Time_post_injection_13"
"A7_Plate72","BLUD","72","None",1,"A7","5.0","3125.0","15","0","Female","A",7,"Old",13,"Yes","A7_Time_post_injection_13"
"A8_Plate72","BLUD","72","None",1,"A8","5.0","3125.0","0","0","Female","A",8,"Old",13,"No","A8_Time_post_injection_13"
"A9_Plate72","BLUD","72","None",1,"A9","5.0","3125.0","0","0","Female","A",9,"Young",NA,"No","A9_Time_post_injection_NA"
"A10_Plate72","BLUD","72","None",1,"A10","5.0","3125.0","0","0","Female","A",10,"Young",NA,"No","A10_Time_post_injection_NA"
